Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer
Rigoberto's Taco Shop,Carne asada,5/13/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,6.6,4.5,4,3,3,3,3.5,3,,3.5,4.5,3,Yes,Erin
Rigoberto's Taco Shop,Carnitas,5/13/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,7.5,4,4,5,4,5,5,4,5,4,4,4,Yes,Elynn
Rigoberto's Taco Shop,Bacon breakfast,5/13/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,6.25,3.5,4,3.5,4,4,5,5,,5,4.5,4.2,Yes,Luis
Rigoberto's Taco Shop,Chile Relleno,5/13/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,6.6,5,5,4,,5,5,4,,5,3,4.5,Yes,Matteo
Rigoberto's Taco Shop,Fish,5/13/16,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,,,,6,2,5,4.5,5,5,5,5,,5,4,5,Yes,Aga
Karina's Taco Shop ,Bomb,5/15/16,Encinitas ,916 N Coast Hwy 101,https://www.yelp.com/biz/karinas-taco-shop-encinitas,4,4.2,,7.99,3,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7,Yes,Scott
Karina's Taco Shop ,California ,5/15/16,Encinitas ,916 N Coast Hwy 101,https://www.yelp.com/biz/karinas-taco-shop-encinitas,,,,6.99,2.5,3.5,4,3.5,3.5,3,1,4,4,4.5,3.8,Yes,Emily
Juanita's Taco Shop,California ,5/18/16,Encinitas ,290 N Coast Hwy 101,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4,4.5,,5.55,3.5,4,4.5,3,3,5,3,4,3,5,3.5,Yes,Scott
Juanita's Taco Shop,Arizona,5/18/16,Encinitas ,290 N Coast Hwy 101,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,,,,5.55,2.5,4.5,4,3.5,4,3.5,4,3,4,5,3.9,Yes,Emily
Goody's,Custom,5/20/16,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,,7.25,3.5,1.5,1,2,2,2,2,2,2,1,1.8,No,Scott
Pedro's Tacos,California Burrito,5/22/16,Oceanside,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,,6.5,5,3,,4,5,4,4,,5,5,5,Yes,Erika N
Los Primos Mexican Food,619 Burrito Original,5/16/16,Oceanside,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,x,11.75,4,3,,4,5,4,4,5,4,3,4,Yes,Sai G
Kotija Jr.,Fish,5/20/16,Oceanside,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,,6.5,4,3,,4,4,5,4,4,5,4,5,Yes,Jonathan G
La Perla Cocina,California,5/16/16,Oceanside,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,,6.5,5,4,,4,4,5,4,4,4,5,4,Yes,Laya
Goody's,Custom,5/16/11,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,,8,4,3,,2,3,2,3,2,3,2,2,No,Albert N
Goody's,Custom,5/20/16,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,,8,3,3,,1,2,2,2,2,2,1,2,No,Brittany T
Chipotle,Custom,5/22/16,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,,7,3.5,3,,5,3,3,4,4,4,4,4,Yes,Gurkirat S
Rigoberto's Taco Shop,Al pastor,4/20/15,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,,,,,4,5,,5,5,5,4,5,5,5,4.8,Yes,Erica
Taco Surf PB,California,5/23/16,Pacific Beach,4657 Mission Blvd,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4,4.6,,7.14,3.5,4,2,4,5,4,2,4,4.5,5,4.4,Yes,Scott
Taco Surf PB,California,5/23/16,Pacific Beach,4657 Mission Blvd,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,,,,7.14,5,4,2,4.5,4,3.5,2,3,4,4,4.1,Yes,Sage
Taco Surf PB,Carne asada,5/23/16,Pacific Beach,4657 Mission Blvd,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,,,,6.02,3.2,4.5,2,3.3,3.4,4.5,4.5,3.8,3.7,5,3.7,Yes,Dan
Roberto's Very Mexican Food,Chicken asada,5/24/16,Del Mar,2206 Carmel Valley Road,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,3.5,3.9,,6.5,2,1.5,4,2,2,4.5,1,1,2,5,1.5,No,Scott
Roberto's Very Mexican Food,Carnitas,5/24/16,Del Mar,2206 Carmel Valley Road,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,,,,5.4,3,2,3.5,4,2.5,3.5,1.5,1.5,3,5,2.7,No,Emily
Netos Mexican Food,California ,5/26/16,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,x,5.99,4,4.5,5,3,4,2,2,2,3.75,4,3.2,Yes,Scott
Netos Mexican Food,Carne adobada ,5/26/16,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,,,,5.5,3,3.5,4,3.5,3,3.5,3.5,2.5,3,2.5,3,Yes,Emily
Lolita's Taco shop,Carne asada,5/27/16,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,,,,6.25,4,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6,No,Scott
Lolita's Taco shop,Shrimp,5/27/16,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,,,,8.95,3.5,3,3,4,4,3.5,3.5,2.5,4,0.5,3,Yes,Emily
Lolita's Taco shop,Bean and cheese,5/27/16,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,,,,3.5,1,3.5,4.5,,3,,4,3,2.5,4,2.7,No,Scott
Pokirrito,Pokirrito classic ,5/29/16,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,4,4.3,x,11.95,4,3.5,4,4,4.5,2.5,2.5,3,4,2,4.2,Yes,Scott
Pokirrito,Mauna Lani,5/29/16,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,,,,11.95,3,3,4,4,4,3,2.5,4.5,4,1.5,4,Yes,Emily
Los Primos Mexican Food,California,5/29/16,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,,,,7.5,4,3,5,3.5,3.5,4,4,2.5,3,5,3.5,Yes,Sage
El Nopalito ,Especial ,6/1/16,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4,4,x,4.87,2,3,4,1.5,2,3,5,3,2.5,5,2.6,No,Scott
El Nopalito ,Ranchero steak,6/1/16,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,,,,4.87,2.5,3.5,3,2.5,2.4,3.5,4.5,3,3,1.5,2.6,No,Emily
