id	o_id	dcterms_title	pa_relurl	dcterms_creator	dcterms_type	pa_streetAddress	pa_streetName	pa_streetNumber	pa_seriesTitle	pa_access	ImageURL	media_link 1	media_link 2	media_link 3	media_link 4	media_link 5	dcterms_description	dcterms_identifier2	pa_access2	x	y
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/553	553	Portraits of Famous Rochesterians		Shawn Dunwoody	mural paintings (visual works)	320 Main Street W., Rochester NY 14608	Main Street W.	320		Outdoor	https://public-art.dslab.digitalscholar.rochester.edu/files/original/bcc1de73e184f96c65c81780062bde4c8ee6e71e.jpg	bcc1de73e184f96c65c81780062bde4c8ee6e71e.jpg	3f1afbc97e23c8468b7f5927accc4c1d379676fe.jpg	508d38c45896bff962014f5b18a528ee45580e1f.jpg			Painted on the Interstate 490 overpass at West Main Street, these portraits include civil rights leaders Frederick Douglass and Susan B. Anthony as well as Nathaniel Rochester and Austin Seward.	slug:10290	Outdoor	-77.620153	43.154048
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/556	556	Science-themed Painted Utility Box			utility boxes	597 East Avenue, Rochester NY 14607	East Avenue	597		Outdoor	https://public-art.dslab.digitalscholar.rochester.edu/files/original/b0e67293ff484b69cd896ea44e5c7cf92a65c9c4.jpg	b0e67293ff484b69cd896ea44e5c7cf92a65c9c4.jpg					In reference to the Rochester Museum and Science Center, this utility box depicts a DNA helix, a molecule, an atom, the earth, trees, flames, and a question mark.	slug:10293	Outdoor	-77.588163	43.153329
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/557	557	Untitled - (Horse and Space Rider)		Siloette	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/1cb3d0385910b0e6bbc8ec2cd026192579cb157b.png	1cb3d0385910b0e6bbc8ec2cd026192579cb157b.png						slug:10294		-77.6023261	43.1459657
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/558	558	Commerce Moves Swifter Than Culture		Gaia	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/2447b22d958c449720d9074e2dec699e8d99e66e.png	2447b22d958c449720d9074e2dec699e8d99e66e.png						slug:10295		-77.60990902	43.1450066
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/560	560	Andy and the Big Dead Waltz		Caitlin Yarsky	mural paintings (visual works)						https://public-art.dslab.digitalscholar.rochester.edu/files/original/cc3af76e869a7e0e616242163fe89d488a4d595a.png	cc3af76e869a7e0e616242163fe89d488a4d595a.png						slug:10297		-77.6024169	43.1460549
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/561	561	The Dreamer		Troy Lovegates	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/cf24d2daea43e6aa40d374a2e04726e0bbc0a9d5.png	cf24d2daea43e6aa40d374a2e04726e0bbc0a9d5.png						slug:10298		-77.5785774	43.1599928
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/562	562	Untitled - (Bazooka)		Freedom	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/da2cc39cdb2b075022ad6f46f45ca744b292cc3a.png	da2cc39cdb2b075022ad6f46f45ca744b292cc3a.png						slug:10299		-77.6077625	43.1536162
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/563	563	Jimi Hendrix	http://www.wall-therapy.com/ernest-shaw-jr-2/ernest-shaw-jr-jimi-hendrix/	Ernest Shaw Jr.	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/f0ffdcbf3b2febb593b76dda9b100035b47b7f35.png	f0ffdcbf3b2febb593b76dda9b100035b47b7f35.png						slug:10300		-77.6268169	43.1552285
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/564	564	Essay on the Symbolism of The Flag and Its Social Consequence	http://www.wall-therapy.com/ever/ever-essay-on-the-symbolism-of-the-flag-and-its-social-consequence/	Ever	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/41b7e214965f6b01cedabdf8841ff375e0668539.png	41b7e214965f6b01cedabdf8841ff375e0668539.png						slug:10301		-77.58171602	43.15773533
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/565	565	"A Word is an Image"		Shoe	mural paintings (visual works)				WALL\THERAPY 2014 WRITES OF SPRING		https://public-art.dslab.digitalscholar.rochester.edu/files/original/0f06d039e1765b34157d20868c0613ebccd3ca99.png	0f06d039e1765b34157d20868c0613ebccd3ca99.png						slug:10302		-77.57121742	43.15647098
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/567	567	Untitled - (Owls)		Mr. Prvrt	mural paintings (visual works)				WALL\THERAPY 2012		https://public-art.dslab.digitalscholar.rochester.edu/files/original/7a374a88fda08893234933ca5ddbed777b6e5c3e.png	7a374a88fda08893234933ca5ddbed777b6e5c3e.png						slug:10304		-77.592892	43.166574
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/613	613	Evening Star		Shawnee Hill	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/70d5608e1166ffc0fbd146df0a9cc50ab1bdb692.png	70d5608e1166ffc0fbd146df0a9cc50ab1bdb692.png						slug:10305		-77.6044527	43.1602521
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/614	614	Untitled - (1975)		Mike Ming	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/de214ceceaf98507f152f6d846d214b99dcc8d8b.png	de214ceceaf98507f152f6d846d214b99dcc8d8b.png						slug:10306		-77.59678558	43.15735929
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/615	615	Stand in Peace		Alice Mizrachi	mural paintings (visual works)				WALL\THERAPY 2014		https://public-art.dslab.digitalscholar.rochester.edu/files/original/111a15ad573fe315b3bdba27da294880888e4376.png	111a15ad573fe315b3bdba27da294880888e4376.png						slug:10307		-77.6269537	43.1553244
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/616	616	"""Peeta"""		Peeta	mural paintings (visual works)				WALL\THERAPY 2014 WRITES OF SPRING		https://public-art.dslab.digitalscholar.rochester.edu/files/original/ef881ab60c954cc840544704143988c5d215c7e0.png	ef881ab60c954cc840544704143988c5d215c7e0.png						slug:10308		-77.57406592	43.15633597
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/617	617	La Lucha Siempre		Range	mural paintings (visual works)				WALL\THERAPY 2013		https://public-art.dslab.digitalscholar.rochester.edu/files/original/0a92a6fb3399642e9aeb3bae97d51e67b29e72be.png	0a92a6fb3399642e9aeb3bae97d51e67b29e72be.png						slug:10309		-77.6140442	43.1927852
https://public-art.dslab.digitalscholar.rochester.edu/s/all/item/618	618	Untitled - (Chained Eagle)	http://www.wall-therapy.com/liqen-3/liqen-untitled-chained-eagle/	Liqen	mural paintings (visual works)				WALL\THERAPY 2012		https://public-art.dslab.digitalscholar.rochester.edu/files/original/2152e2406ca2e0fa2c24f23885129d0c29892089.png	2152e2406ca2e0fa2c24f23885129d0c29892089.png						slug:10310		-77.58947239	43.166168
