Location,Burrito,Number of Burritos,Date,Neighborhood,Address,JSON,lon,lat,Coverage,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa2,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Place,By
Albertacos,California ,2,2016-06-08,San Marcos,500 W San Marcos Blvd,"[{""place_id"":""51401160"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4063505923"",""boundingbox"":[""33.1393291"",""33.1394291"",""-117.1721318"",""-117.1720318""],""lat"":""33.1393791"",""lon"":""-117.1720818"",""display_name"":""ACE Cash Express, 500, West San Marcos Boulevard, San Elijo Hills, San Marcos, San Diego County, California, 92069, United States of America"",""class"":""shop"",""type"":""yes"",""importance"":0.721,""address"":{""shop"":""ACE Cash Express"",""house_number"":""500"",""road"":""West San Marcos Boulevard"",""suburb"":""San Elijo Hills"",""city"":""San Marcos"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92069"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1720818,33.1393791,POINT(-13043536.4812 3913818.85445),<a href='https://www.yelp.com/biz/albertacos-san-marcos'>https://www.yelp.com/biz/albertacos-san-marcos</a>,3.5,3.9,,5.7,3.5,,,20.5,21.5,0.75,3.5,3,3,4,1.5,4,4,4,4,3.7,Yes,Scott,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrito Factory,Steak everything ,1,2017-07-13,Austin,2025 Guadalupe St,"[{""place_id"":""16413386"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""1488916371"",""boundingbox"":[""30.2833206"",""30.2834206"",""-97.7414368"",""-97.7413368""],""lat"":""30.2833706"",""lon"":""-97.7413868"",""display_name"":""Dobie Tower Food Court, 2025, Guadalupe Street, The Drag, Austin, Travis County, Texas, 78701, United States of America"",""class"":""amenity"",""type"":""food_court"",""importance"":0.421,""address"":{""address29"":""Dobie Tower Food Court"",""house_number"":""2025"",""road"":""Guadalupe Street"",""neighbourhood"":""The Drag"",""city"":""Austin"",""county"":""Travis County"",""state"":""Texas"",""postcode"":""78701"",""country"":""United States of America"",""country_code"":""us""}}]",-97.7413868,30.2833706,POINT(-10880521.408 3540026.74423),<a href='https://www.yelp.com/biz/burrito-factory-austin'>https://www.yelp.com/biz/burrito-factory-austin</a>,4.5,4.8,,7.35,3.5,,,17,23,0.72,3.2,3,3.5,3.5,3,3.3,3,3.8,2,3.5,,Scott,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burros and Fries,California,3,2016-08-12,Clairemont,4705 Clairemont Dr,"[{""place_id"":""5722412"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596821227"",""boundingbox"":[""32.829648"",""32.829748"",""-117.204843"",""-117.204743""],""lat"":""32.829698"",""lon"":""-117.204793"",""display_name"":""4705, Clairemont Drive, Clairemont, San Diego, San Diego County, California, 92037, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.541,""address"":{""house_number"":""4705"",""road"":""Clairemont Drive"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.204793,32.829698,POINT(-13047177.8753 3872720.97647),<a href='http://www.burrosandfries.com/'>http://www.burrosandfries.com/</a>,3.5,4.1,,6.89,4,,,21.5,22.5,0.87,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,Yes,Scott,good fries,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caliente Mexican Food,carne asada ,3,2017-07-06,Sorrento Valley,11815 Sorrento Valley Rd,[],,,,<a href='https://www.yelp.com/biz/caliente-mexican-food-san-diego'>https://www.yelp.com/biz/caliente-mexican-food-san-diego</a>,3.5,4.4,,5.56,2.5,420,0.617647059,21.5,20,0.68,2.5,3,2.5,3.5,4.5,4.5,3.7,3.3,4.5,3.5,,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burrito Company,Dave's California,3,2016-10-12,Miramar,6912 Miramar Rd,"[{""place_id"":""166773183"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436428517"",""boundingbox"":[""32.893698"",""32.8937565"",""-117.1234455"",""-117.1188758""],""lat"":""32.8937565"",""lon"":""-117.1199398"",""display_name"":""Miramar Road, Mira Mesa, San Diego, San Diego County, California, SCRIPPS RANCH BLVD., United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.335,""address"":{""road"":""Miramar Road"",""suburb"":""Mira Mesa"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""SCRIPPS RANCH BLVD."",""country"":""United States of America"",""country_code"":""us""}}]",-117.1199398,32.8937565,POINT(-13037732.0603 3881210.39167),<a href='https://www.yelp.com/biz/california-burrito-company-san-diego-2'>https://www.yelp.com/biz/california-burrito-company-san-diego-2</a>,3.5,4.4,,6.5,4,,,19.5,21,0.68,3,2.5,2.5,3,4,3.5,2.5,3,5,3.3,No,Scott,The burrito looked beautiful when it came out. Chicken didn't add anything. would probably get the regular,,,x,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,6,2016-04-15,Linda Vista,7754 Starling Dr,[],,,,<a href='https://www.yelp.com/biz/california-burritos-san-diego'>https://www.yelp.com/biz/california-burritos-san-diego</a>,4.5,4.4,x,6.25,4,,,,,,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Yes,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California,2,2016-03-20,Encinitas,1766 N Coast Hwy,[],,,,<a href='http://cancunmexicanandseafood.com/'>http://cancunmexicanandseafood.com/</a>,4.5,4.1,x,6.99,4,,,,,,4,4.5,4,3.5,4,2.5,2,4,4,4.2,,Scott,A bit small,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmen's Mexican Food,Adobada,2,2016-08-19,Clairemont,4937 Diane Ave,"[{""place_id"":""158440088"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""390553177"",""boundingbox"":[""32.8344012"",""32.8345433"",""-117.1870819"",""-117.18708""],""lat"":""32.8345433"",""lon"":""-117.18708"",""display_name"":""Diane Avenue, Clairemont, San Diego, San Diego County, California, 92117, United States of America"",""class"":""highway"",""type"":""tertiary"",""importance"":0.445,""address"":{""road"":""Diane Avenue"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92117"",""country"":""United States of America"",""country_code"":""us""}}]",-117.18708,32.8345433,POINT(-13045206.0732 3873362.89034),<a href='https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego'>https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego</a>,4,4.2,,6.5,3.5,,,20.5,20.5,0.69,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,Yes,Scott,really good guac,,,,,x,,,,x,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,
Chipotle,Carnitas,2,2016-09-13,Carlsbad,2505 Palomar airport Rd,"[{""place_id"":""52407885"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""4069228017"",""boundingbox"":[""33.1279918"",""33.1280918"",""-117.270445"",""-117.270345""],""lat"":""33.1280418"",""lon"":""-117.270395"",""display_name"":""Chipotle, 2505, Palomar Airport Road, Carlsbad, San Diego County, California, 92011, United States of America"",""class"":""amenity"",""type"":""fast_food"",""importance"":0.531,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_fastfood.p.20.png"",""address"":{""fast_food"":""Chipotle"",""house_number"":""2505"",""road"":""Palomar Airport Road"",""city"":""Carlsbad"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92011"",""country"":""United States of America"",""country_code"":""us""}}]",-117.270395,33.1280418,POINT(-13054480.6565 3912311.72932),<a href='https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad'>https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad</a>,3,4.2,,7.15,4,,,16.5,26.5,0.92,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75,Yes,Emily,,,,,X,,,,X,X,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,X,,,
Colima's Mexican Food,Hawaiian,3,2016-03-03,North park,2302 University Ave,"[{""place_id"":""5478695"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596075659"",""boundingbox"":[""32.748637"",""32.748737"",""-117.139627"",""-117.139527""],""lat"":""32.748687"",""lon"":""-117.139577"",""display_name"":""2302, University Avenue, North Park, San Diego, San Diego County, California, 92104, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.621,""address"":{""house_number"":""2302"",""road"":""University Avenue"",""neighbourhood"":""North Park"",""suburb"":""North Park"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92104"",""country"":""United States of America"",""country_code"":""us""}}]",-117.139577,32.748687,POINT(-13039918.0634 3861993.67819),<a href='https://www.yelp.com/biz/colimas-mexican-food-san-diego'>https://www.yelp.com/biz/colimas-mexican-food-san-diego</a>,4,4.2,,6.29,3.5,,,,,,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,,Scott,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
Cortez Mexican Food,California ,1,2016-10-07,Bonsall,5517 Mission Rd,"[{""place_id"":""116950848"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""205580713"",""boundingbox"":[""33.2739882"",""33.2811127"",""-117.2359224"",""-117.2268949""],""lat"":""33.2781604"",""lon"":""-117.231125"",""display_name"":""Mission Road, Bonsall, San Diego County, California, 92003, United States of America"",""class"":""highway"",""type"":""unclassified"",""importance"":0.345,""address"":{""road"":""Mission Road"",""village"":""Bonsall"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92003"",""country"":""United States of America"",""country_code"":""us""}}]",-117.231125,33.2781604,POINT(-13050109.1401 3932283.57401),<a href='https://www.yelp.com/biz/cortez-mexican-food-bonsall'>https://www.yelp.com/biz/cortez-mexican-food-bonsall</a>,4.2,4,,6.25,4,,,22.5,18,0.58,3.5,4,2.5,3,1.5,2.5,2.5,2.8,5,3.2,No,Scott ,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotixan,California,1,2017-02-23,Clairemont,4370 Genessee Ave,[],,,,<a href='https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego'>https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego</a>,4,4,,7.19,4.5,,,20,24,0.92,4,2,3,3.8,3.5,2,4,4,4,3.5,,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Carlos Taco Shop,California,1,2017-05-09,La Jolla,737 Pearl St,"[{""place_id"":""51332574"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""3943306175"",""boundingbox"":[""32.8396537"",""32.8397537"",""-117.275341"",""-117.275241""],""lat"":""32.8397037"",""lon"":""-117.275291"",""display_name"":""Charlie's Salon Barber Beauty, 737, Pearl Street, La Jolla, San Diego, San Diego County, California, 92037, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.621,""address"":{""house"":""Charlie's Salon Barber Beauty"",""house_number"":""737"",""road"":""Pearl Street"",""suburb"":""La Jolla"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.275291,32.8397037,POINT(-13055025.6768 3874046.58772),<a href='https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla'>https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla</a>,4,4.5,,7.75,5,,,18,22.5,0.73,3.5,4.2,3.3,3.7,4,4,2.9,3,5,3.7,,Scott ,,,,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donato's taco shop,California ,2,2016-01-18,Miramar,6780 Miramar Rd,"[{""place_id"":""166773183"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436428517"",""boundingbox"":[""32.893698"",""32.8937565"",""-117.1234455"",""-117.1188758""],""lat"":""32.8937565"",""lon"":""-117.1199398"",""display_name"":""Miramar Road, Mira Mesa, San Diego, San Diego County, California, SCRIPPS RANCH BLVD., United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.335,""address"":{""road"":""Miramar Road"",""suburb"":""Mira Mesa"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""SCRIPPS RANCH BLVD."",""country"":""United States of America"",""country_code"":""us""}}]",-117.1199398,32.8937565,POINT(-13037732.0603 3881210.39167),<a href='http://donatostacoshop.net/'>http://donatostacoshop.net/</a>,3.5,4.2,,6.49,3,,,,,,3,5,3,3.5,4,4,4,4,4,3.8,,Scott,good fries: 4/5,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Cuervo,California ,2,2016-09-22,Hillcrest,110 Washington St,"[{""place_id"":""166786115"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436405940"",""boundingbox"":[""32.7499702"",""32.7499923"",""-117.1616026"",""-117.1610281""],""lat"":""32.7499923"",""lon"":""-117.1610281"",""display_name"":""Washington Street, Uptown, San Diego, San Diego County, California, 92103, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.335,""address"":{""road"":""Washington Street"",""suburb"":""Uptown"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92103"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1610281,32.7499923,POINT(-13042305.9889 3862166.44574),<a href='https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego'>https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego</a>,4,4.3,,6.95,3.5,,,20,21.5,0.74,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6,Yes,Scott,Alfajores dessert and horchata are super good,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado Mexican Food,California,2,2016-06-16,Temecula,29000 Old Town Front St,"[{""place_id"":""136312477"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""283645282"",""boundingbox"":[""33.4954822"",""33.4964371"",""-117.1524576"",""-117.1513697""],""lat"":""33.4960848"",""lon"":""-117.1521203"",""display_name"":""Old Town Front Street, Villa Del Sol, Old Town, Temecula, Riverside County, California, 92562, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.645,""address"":{""road"":""Old Town Front Street"",""neighbourhood"":""Villa Del Sol"",""suburb"":""Old Town"",""city_district"":""Old Town"",""city"":""Temecula"",""county"":""Riverside County"",""state"":""California"",""postcode"":""92562"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1521203,33.4960848,POINT(-13041314.3771 3961337.5701),<a href='https://www.yelp.com/biz/el-dorado-mexican-food-temecula'>https://www.yelp.com/biz/el-dorado-mexican-food-temecula</a>,4.5,4,,6.94,4,,,,,,4,4,4,4.5,3.2,3,4.5,4.5,2,4.5,Yes,Scott,Salsa verde has an interesting hint of garlic,,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Indio,California,1,2016-03-17,San Diego,3695 India St,"[{""place_id"":""113136279"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""178116751"",""boundingbox"":[""32.739841"",""32.740688"",""-117.178963"",""-117.178238""],""lat"":""32.740284"",""lon"":""-117.178619"",""display_name"":""India Street, Uptown, San Diego, San Diego County, California, 92103, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.535,""address"":{""road"":""India Street"",""suburb"":""Uptown"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92103"",""country"":""United States of America"",""country_code"":""us""}}]",-117.178619,32.740284,POINT(-13044264.1989 3860881.53028),<a href='http://elindiosandiego.com/'>http://elindiosandiego.com/</a>,3.5,3.9,,7.84,4,,,,,,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,,Scott,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Nopalito ,Especial ,2,2016-06-01,Encinitas,582 Santa Fe Dr,"[{""place_id"":""112385553"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""175955557"",""boundingbox"":[""33.0362151"",""33.036217"",""-117.2848824"",""-117.284309""],""lat"":""33.0362164"",""lon"":""-117.2844895"",""display_name"":""Santa Fe Drive, Encinitas, San Diego County, California, 92007, United States of America"",""class"":""highway"",""type"":""primary"",""importance"":0.545,""address"":{""road"":""Santa Fe Drive"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92007"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2844895,33.0362164,POINT(-13056049.6491 3900112.07198),<a href='https://www.yelp.com/biz/el-nopalito-encinitas'>https://www.yelp.com/biz/el-nopalito-encinitas</a>,4,4,x,4.87,2,,,19,23.5,0.83,3,4,1.5,2,3,5,3,2.5,5,2.6,No,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people",,,X,,X,X,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
El Pollo Loco,Chicken avocado,1,2016-11-27,Oceanside,3500 College Blvd,"[{""place_id"":""5277829"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""595976915"",""boundingbox"":[""33.181674"",""33.181774"",""-117.296042"",""-117.295942""],""lat"":""33.181724"",""lon"":""-117.295992"",""display_name"":""3500, College Boulevard, Oceanside, San Diego County, California, 92056, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.431,""address"":{""house_number"":""3500"",""road"":""College Boulevard"",""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92056"",""country"":""United States of America"",""country_code"":""us""}}]",-117.295992,33.181724,POINT(-13057330.1015 3919449.7007),<a href='https://www.yelp.com/biz/el-pollo-loco-oceanside-5'>https://www.yelp.com/biz/el-pollo-loco-oceanside-5</a>,3.5,4.1,,5.99,3.5,,,17.5,21,0.61,2,3,3.8,2.5,2.5,3,2.5,3,2.6,3.2,No,Scott,,,,,,x,,,,,x,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,
El Portal Fresh Mexican Grill,Mahi,2,2016-11-06,Clairemont,4101 Genesee Ave,"[{""place_id"":""163994773"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436311981"",""boundingbox"":[""32.8770516"",""32.8775841"",""-117.2139438"",""-117.2139267""],""lat"":""32.877315"",""lon"":""-117.2139267"",""display_name"":""Genesee Avenue, University City, San Diego, San Diego County, California, 92037, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.335,""address"":{""road"":""Genesee Avenue"",""suburb"":""University City"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2139267,32.877315,POINT(-13048194.6341 3879030.88081),<a href='https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego'>https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego</a>,4,4.4,X,7.35,2.3,,,19.5,23.5,0.86,4,4,3.5,2,1.5,2,2,3,1.2,3.1,No,Scott,,,,,,X,,,,,,,X,,,,X,,,X,,,,,,,,,,,,,,,,,,,,
El Pueblo Mexican Food,California,1,2016-08-10,Cardiff ,820 Birmingham Dr,"[{""place_id"":""5934736"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""596856967"",""boundingbox"":[""33.026945"",""33.027045"",""-117.273348"",""-117.273248""],""lat"":""33.026995"",""lon"":""-117.273298"",""display_name"":""820, Birmingham Drive, Encinitas, San Diego County, California, 92007, United States of America"",""class"":""place"",""type"":""house"",""importance"":0.421,""address"":{""house_number"":""820"",""road"":""Birmingham Drive"",""city"":""Encinitas"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92007"",""country"":""United States of America"",""country_code"":""us""}}]",-117.273298,33.026995,POINT(-13054803.817 3898887.64655),<a href='https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea'>https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea</a>,4,4.7,,4.99,4,,,19,21,0.67,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,Yes,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Rey Moro,California Surf,2,2016-06-09,Clairemont,4471 Clairemont Mesa Blvd,"[{""place_id"":""163667385"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436322858"",""boundingbox"":[""32.8307012"",""32.8312462"",""-117.2157687"",""-117.2156491""],""lat"":""32.8308829"",""lon"":""-117.2157296"",""display_name"":""Clairemont Mesa Boulevard, Clairemont, San Diego, San Diego County, California, 92037, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.455,""address"":{""road"":""Clairemont Mesa Boulevard"",""suburb"":""Clairemont"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92037"",""country"":""United States of America"",""country_code"":""us""}}]",-117.2157296,32.8308829,POINT(-13048395.332 3872877.95087),<a href='https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego'>https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego</a>,4,3.8,,9.19,2.8,,,20.5,23.5,0.9,3.5,4.5,4,3.5,5,4.5,3,3.5,5,4,Yes,Scott,shrimp is really good. too much chipotle sauce,,,X,,X,X,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
El Torrito Foods,Asada,2,2016-09-25,Vista,249 Emerald Dr,"[{""place_id"":""167162618"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""436297540"",""boundingbox"":[""33.1969567"",""33.197147"",""-117.279553"",""-117.279453""],""lat"":""33.1969567"",""lon"":""-117.279503"",""display_name"":""Emerald Drive, Oceanside, San Diego County, California, 92056, United States of America"",""class"":""highway"",""type"":""secondary"",""importance"":0.335,""address"":{""road"":""Emerald Drive"",""city"":""Oceanside"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92056"",""country"":""United States of America"",""country_code"":""us""}}]",-117.279503,33.1969567,POINT(-13055494.5544 3921475.94632),<a href='https://www.yelp.com/biz/el-torito-foods-vista-2'>https://www.yelp.com/biz/el-torito-foods-vista-2</a>,4,4.4,,5.49,4,,,23.5,19,0.68,3,5,3,3,2.5,4,3.5,3,5,3.1,Yes,Scott,Good because so cheap,,,X,,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,,,,,,,,,,
El Zarape,California,6,2016-03-14,University Heights,4642 Park Blvd,"[{""place_id"":""21665068"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""node"",""osm_id"":""2094268438"",""boundingbox"":[""32.7617403"",""32.7618403"",""-117.1464764"",""-117.1463764""],""lat"":""32.7617903"",""lon"":""-117.1464264"",""display_name"":""El Zarape, 4642, Park Boulevard, Mission Valley, San Diego, San Diego County, California, 92103, United States of America"",""class"":""amenity"",""type"":""restaurant"",""importance"":0.321,""icon"":""http:\/\/nominatim.openstreetmap.org\/images\/mapicons\/food_restaurant.p.20.png"",""address"":{""restaurant"":""El Zarape"",""house_number"":""4642"",""road"":""Park Boulevard"",""suburb"":""Mission Valley"",""city"":""San Diego"",""county"":""San Diego County"",""state"":""California"",""postcode"":""92103"",""country"":""United States of America"",""country_code"":""us""}}]",-117.1464264,32.7617903,POINT(-13040680.5351 3863728.12625),<a href='https://www.yelp.com/biz/el-zarape-san-diego'>https://www.yelp.com/biz/el-zarape-san-diego</a>,4,4.4,x,6.25,0.5,,,,,,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,,Kelsey,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Famoso Mexican Street Food,Cali Diablo,1,2016-11-14,Downtown,815 C St,"[{""place_id"":""156612164"",""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""osm_type"":""way"",""osm_id"":""388826793"",""boundingbox"":[""45.5075065"",""45.5086714"",""-122.6738272"",""-122.6720207""],""lat"":""45.5080513"",""lon"":""-122.673013953471"",""display_name"":""The Strand, Portland Downtown, Portland, Multnomah County, Oregon, 97202, United States of America"",""class"":""landuse"",""type"":""residential"",""importance"":0.35,""address"":{""residential"":""The Strand"",""suburb"":""Portland Downtown"",""city"":""Portland"",""county"":""Multnomah County"",""state"":""Oregon"",""postcode"":""97202"",""country"":""United States of America"",""country_code"":""us""}}]",-122.673013953471,45.5080513,POINT(-13655897.4474 5701861.54373),<a href='https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20'>https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20</a>,4.5,3.9,,10.5,3,,,20,27,1.16,2,2.5,3.3,3.5,1.5,4,2.5,2.5,3,3.1,No,Scott,Big roach on the floor while eating. Good prep took quite a long time. Cut in half!,,,X,X,X,X,X,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
