Building Name,File Name,Source URL,dc.title,dc.creator,dc.contributor,dc.date,dc.description,dc.rights,dc.subject,dc.coverage,dc.publisher,dc.relation,dc.source,dc.format,dc.type,dc.language,dc.identifier
Quincy Market Building,quincymarket.jpg,https://www.flickr.com/photos/boston_public_library/5693103175,,,,,,,,,,,,,,,quincymarket.jpg
Symphony Hall,symphonyhall.jpg,https://www.flickr.com/photos/boston_public_library/4899518320,,,,,,,,,,,,,,,symphonyhall.jpg
Theodore Parker Unitarian Church,theodoreparker.jpg,https://www.flickr.com/photos/boston_public_library/5414512092,,,,,,,,,,,,,,,theodoreparker.jpg
Trinity Church,trinitychurch.jpg,https://www.flickr.com/photos/boston_public_library/2380975882,,,,,,,,,,,,,,,trinitychurch.jpg
Trinity Neighborhood House,trinityneighborhood.jpg,"https://commons.wikimedia.org/wiki/File:Trinity_Neighborhood_House,_East_Boston_MA.jpg",,,,,,,,,,,,,,,trinityneighborhood.jpg
United Shoe Machinery Company Building,USMCBoston.jpg,https://commons.wikimedia.org/wiki/File:USMCBostonL.JPG,,,,,,,,,,,,,,,USMCBoston.jpg
Wang Theater,wangtheatre.jpg,https://www.flickr.com/photos/pasa/32982128664,,,,,,,,,,,,,,,wangtheatre.jpg
Wilbur Theater,wilbur.jpg,https://commons.wikimedia.org/wiki/File:Boston_MA_Wilbur_Theatre.jpg,,,,,,,,,,,,,,,wilbur.jpg
William Lloyd Garrison House,garrison.jpg,https://www.flickr.com/photos/boston_public_library/2884583103/,,,,,,,,,,,,,,,garrison.jpg
William Monroe Trotter House,trotter.jpg,https://www.flickr.com/photos/cityofbostonarchives/25324052932,,,,,,,,,,,,,,,trotter.jpg
